experiment,adapter_dir,checkpoint_dir,eval_loss,best_eval_loss,last_train_loss,last_learning_rate,hp_num_train_epochs,hp_learning_rate,hp_gradient_accumulation_steps,hp_lora_r,hp_lora_alpha,hp_lora_dropout,hp_per_device_train_batch_size,hp_per_device_eval_batch_size,hp_weight_decay,hp_warmup_ratio
exp_1_baseline,/content/drive/MyDrive/brainink_janus_hw/janus_hw_lora_adapter/exp_1_baseline,/content/drive/MyDrive/brainink_janus_hw/checkpoints/exp_1_baseline,3.14239764213562,3.14239764213562,3.145,1.2084592145015106e-06,2,0.0002,8,16,32,0.05,1,1,0.01,0.03
exp_2_lower_lr_more_epochs,/content/drive/MyDrive/brainink_janus_hw/janus_hw_lora_adapter/exp_2_lower_lr_more_epochs,/content/drive/MyDrive/brainink_janus_hw/checkpoints/exp_2_lower_lr_more_epochs,3.145655632019043,3.145655632019043,3.1328,6.160164271047228e-07,3,0.0001,8,16,32,0.05,1,1,0.01,0.05
exp_3_higher_capacity_lora,/content/drive/MyDrive/brainink_janus_hw/janus_hw_lora_adapter/exp_3_higher_capacity_lora,/content/drive/MyDrive/brainink_janus_hw/checkpoints/exp_3_higher_capacity_lora,3.1364641189575195,3.1364641189575195,3.133,1.2084592145015106e-06,2,0.0002,8,32,64,0.1,1,1,0.01,0.03
